"","","","edge_btw"
"439","Brook Lopez","Christian Wood","55.9794930607212"
"440","Brook Lopez","Pat Connaughton","57.1624764742182"
"441","Brook Lopez","Ersan Ilyasova","35.5115196107072"
"442","Brook Lopez","Sterling Brown","79.3721536130967"
"443","Brook Lopez","Tony Snell","41.8907616820544"
"444","Brook Lopez","Matthew Dellavedova","29.6342207668154"
"445","Brook Lopez","D.J. Wilson","79.3721536130967"
"446","Brook Lopez","John Henson","30.6763121667853"
"447","Brook Lopez","Thon Maker","54.3993774044533"
"448","Brook Lopez","Bonzie Colson","88.2510724036899"
"449","Brook Lopez","Donte DiVincenzo","88.2510724036899"
"450","Brook Lopez","Jaylen Morris","54.6165642008889"
"451","Brook Lopez","Trevon Duval","88.2510724036899"
"452","Brook Lopez","Jordan Clarkson","51.3380654086372"
"453","Brook Lopez","Larry Nance Jr.","58.2025457954537"
"454","Brook Lopez","Kyle Kuzma","45.133593316689"
"455","Brook Lopez","Brandon Ingram","39.6723956200213"
"456","Brook Lopez","Kentavious Caldwell-Pope","33.2513830353796"
"457","Brook Lopez","Lonzo Ball","45.133593316689"
"458","Brook Lopez","Alex Caruso","45.133593316689"
"459","Brook Lopez","Ivica Zubac","39.6723956200213"
"460","Brook Lopez","Josh Hart","45.133593316689"
"461","Brook Lopez","Andre Ingram","45.133593316689"
"462","Brook Lopez","Julius Randle","54.4555320305147"
"463","Brook Lopez","Corey Brewer","73.2678213185833"
"464","Brook Lopez","Luol Deng","51.6249423542164"
"465","Brook Lopez","Andrew Bogut","45.761829709409"
"466","Brook Lopez","Thomas Bryant","49.1946817955358"
"467","Brook Lopez","Jeremy Lin","53.0673631618439"
"468","Brook Lopez","Yogi Ferrell","103.831657745998"
"469","Brook Lopez","Spencer Dinwiddie","36.1517950859739"
